Solar,"Solar forecast (Day-Ahead, D-1 18:00)","Solar forecast (Intraday, 8:00)",Solar forecast (Current)
2.4,0,0,0
2.5,0,0,0
2.6,0,0,0
2.6,0,0,0
2.7,0,0,0
2.6,0,0,0
2.7,0,0,0
2.6,0,0,0
2.6,0,0,0
2.7,0,0,0
2.7,0,0,0
2.6,0,0,0
2.8,0,0,0
3,0,0,0
6.8,0,0,0
5,19.3,13.3,13.3
21.6,162.6,120.5,106.8
119.2,329.3,243.2,230.3
298.6,567.8,454.5,445.6
546.7,905.6,796.5,771.7
821.4,1329.2,1218.2,1220.2
1075.5,1794.7,1694.6,1668.4
1340,2293.1,2210.4,2085.9
1634.8,2754.8,2714.1,2526.5
1948.8,3264.8,3246.7,2973.1
2289.7,3748.2,3761.6,3389.5
2633.2,4193.5,4243.7,3716.5
2942.7,4586.7,4668.6,4019.9
3275.6,4928.3,5052.6,4251.1
3519.4,5205.2,5359.7,4437.6
3710.4,5404.3,5583.6,4535.3
3815.6,5523.1,5705.9,4651.7
3878.4,5564.5,5753.4,4638.9
3809.5,5552.5,5743.7,4604.9
3665.9,5482.3,5666.8,4551.4
3509.9,5361.1,5520.5,4460.5
3309,5145,5296.8,3998.3
3055.6,4851.6,5003.3,3792
2776.5,4491,4643.6,3535.1
2479.4,4072.4,4194,3222.5
2182.1,3584.8,3715.8,2844.8
1861.2,3024.8,3159.7,2421
1537.2,2475.4,2603.1,1891.1
1193,1945.1,2060.4,1518.8
861.2,1450.1,1561.7,1132.9
558.8,971.9,1069,761.5
307.8,559.6,637.5,447.4
122.2,284.2,329.9,225.6
29.8,114.6,144,90.7
7,59.9,72.7,37.2
6.2,44.9,47.2,21.2
3.3,0,0,0
3.6,0,0,0
3.2,0,0,0
3.1,0,0,0
3.7,0,0,0
2.9,0,0,0
2.8,0,0,0
2.7,0,0,0
3.4,0,0,0
2.7,0,0,0
2.7,0,0,0
2.7,0,0,0
3.3,0,0,0
2.7,0,0,0
2.8,0,0,0
2.8,0,0,0
3.5,0,0,0
3.5,0,0,0
3.5,0,0,0
3.4,0,0,0
2.6,0,0,0
2.5,0,0,0
2.6,0,0,0
2.6,0,0,0
3.3,0,0,0
2.7,0,0,0
2.8,0,0,0
3.4,0,0,0
2.7,0,0,0
2.8,0,0,0
2.7,0,0,0
2.7,0,0,0
2.6,0,0,0
2.7,0,0,0
2.7,0,0,0
2.7,0,0,0
3.3,0,0,0
2.6,0,0,0
2.5,0,0,0
2.5,0,0,0
2.5,0,0,0
2.7,0,0,0
2.7,0,0,0
2.8,0,0,0
2.7,0,0,0
2.8,0,0,0
2.8,0,0,0
2.8,0,0,0
2.7,0,0,0
3.5,0,0,0
2.9,0,0,0
3.7,0,0,0
2.7,0,0,0
2.8,0,0,0
2.7,0,0,0
3.5,0,0,0
2.6,0,0,0
2.9,0,0,0
3.1,0,0,0
4.2,0,0,0
7.4,51.8,45.4,45.2
31.7,280.2,255.9,233.7
164.1,668.9,595.1,564.4
504,1303,1192,1128.7
986.8,2058.4,1905.2,1769.5
1490.9,2960.5,2850.9,2671.1
2071.2,3921.9,3855.6,3444.4
2619,4901.1,4888,4252.9
3277.7,5769.5,5827,4939.2
4023.4,6615.4,6739.5,5700.3
4884.6,7440,7626.1,6419.9
5724.6,8202,8488.5,6934.4
6434.5,8899.4,9277.9,7530.4
7224,9552.3,10031.2,8061.5
7886.9,10142.3,10691.8,8596.8
8464.4,10623.1,11202.1,8978.3
8969.5,10897.3,11532.8,9268.9
9368.1,11041.5,11708.9,9422.1
9577.2,11064.2,11728.5,9463.4
9644.3,10955.7,11648.1,9470.2
9566.1,10729.9,11448.2,9354.8
9327.4,10375.2,11085.7,9229.9
8927.3,9891.8,10598.6,8875.3
8284.7,9282.9,9982.3,8394.9
7581.7,8563.1,8996.3,7786.1
6730.8,7728,8125.2,7074.9
5807,6793.5,7140.3,6254.9
4837.8,5807.2,6093.2,5402.6
